DAY,ITEM_ID,ITEM_NAME,SHIP_DATE,EXPIRY_DATE,QUANTITY,WEIGHT,PRICE,SHELL_LIFE,DAYS_TO_EXPIRY,LAG_1,LAG_2,ROLLING_MEAN,ROLLING_SD
50,110,Bingo Yumitos,2024/07/23,2024/12/25,250,40 gms,20.00,62.00,93,262,271,298.714285714286,28.5406977590147
51,110,Bingo Yumitos,2024/07/23,2024/12/25,241,40 gms,20.00,62.00,93,250,262,285.714285714286,26.737703003526
52,110,Bingo Yumitos,2024/07/23,2024/12/25,231,40 gms,20.00,62.00,93,241,250,273.857142857143,25.2944563849379
53,110,Bingo Yumitos,2024/07/23,2024/12/25,223,40 gms,20.00,62.00,93,231,241,262.571428571429,24.0752787651368
54,110,Bingo Yumitos,2024/07/23,2024/12/25,210,40 gms,20.00,62.00,93,223,231,251.714285714286,21.9523293047631
55,110,Bingo Yumitos,2024/07/23,2024/12/25,195,40 gms,20.00,62.00,93,210,223,241.142857142857,21.6289048222402
56,110,Bingo Yumitos,2024/07/23,2024/12/25,174,40 gms,20.00,62.00,93,195,210,230.285714285714,23.1640114956678
57,110,Bingo Yumitos,2024/07/23,2024/12/25,152,40 gms,20.00,62.00,93,174,195,217.714285714286,26.6940335762775
58,110,Bingo Yumitos,2024/07/23,2024/12/25,141,40 gms,20.00,62.00,93,152,174,203.714285714286,32.0921292828127
59,110,Bingo Yumitos,2024/07/23,2024/12/25,132,40 gms,20.00,62.00,93,141,152,189.428571428571,34.8657288410704
60,110,Bingo Yumitos,2024/07/23,2024/12/25,120,40 gms,20.00,62.00,93,132,141,NA,NA
1,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1500,80 gms,80.00,62.00,93,NA,NA,NA,NA
2,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1547,80 gms,80.00,62.00,93,1500,NA,NA,NA
3,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1520,80 gms,80.00,62.00,93,1547,1500,NA,NA
4,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1501,80 gms,80.00,62.00,93,1520,1547,NA,NA
5,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1484,80 gms,80.00,62.00,93,1501,1520,NA,NA
6,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1471,80 gms,80.00,62.00,93,1484,1501,NA,NA
7,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1458,80 gms,80.00,62.00,93,1471,1484,1306.14285714286,523.616089825179
8,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1444,80 gms,80.00,62.00,93,1458,1471,1497.28571428571,30.0539197982242
9,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1432,80 gms,80.00,62.00,93,1444,1458,1489.28571428571,36.0634361725478
10,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1420,80 gms,80.00,62.00,93,1432,1444,1472.85714285714,31.2646156297529
11,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1414,80 gms,80.00,62.00,93,1420,1432,1458.57142857143,28.8897741012118
12,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1403,80 gms,80.00,62.00,93,1414,1420,1446.14285714286,26.181600227568
13,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1391,80 gms,80.00,62.00,93,1403,1414,1434.57142857143,24.5075304267698
14,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1374,80 gms,80.00,62.00,93,1391,1403,1423.14285714286,23.3125758009747
15,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1351,80 gms,80.00,62.00,93,1374,1391,1411.14285714286,23.9890848194797
16,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1341,80 gms,80.00,62.00,93,1351,1374,1397.85714285714,28.1509536335129
17,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1332,80 gms,80.00,62.00,93,1341,1351,1384.85714285714,30.6563129519765
18,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1315,80 gms,80.00,62.00,93,1332,1341,1372.28571428571,31.8628011203989
19,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1302,80 gms,80.00,62.00,93,1315,1332,1358.14285714286,32.2305681583419
20,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1294,80 gms,80.00,62.00,93,1302,1315,1343.71428571429,31.3991204001762
21,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1281,80 gms,80.00,62.00,93,1294,1302,1329.85714285714,28.3044670881269
22,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1265,80 gms,80.00,62.00,93,1281,1294,1316.57142857143,25.8512226845407
23,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1251,80 gms,80.00,62.00,93,1265,1281,1304.28571428571,27.1644024764905
24,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1240,80 gms,80.00,62.00,93,1251,1265,1291.42857142857,28.1712450491463
25,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1230,80 gms,80.00,62.00,93,1240,1251,1278.28571428571,27.5421754509594
26,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1212,80 gms,80.00,62.00,93,1230,1240,1266.14285714286,27.3948205045441
27,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1199,80 gms,80.00,62.00,93,1212,1230,1253.28571428571,28.8427592630241
28,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1187,80 gms,80.00,62.00,93,1199,1212,1239.71428571429,28.8427592630241
29,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1174,80 gms,80.00,62.00,93,1187,1199,1226.28571428571,28.2943709697075
30,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1160,80 gms,80.00,62.00,93,1174,1187,1213.28571428571,28.4471104901376
31,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1147,80 gms,80.00,62.00,93,1160,1174,1200.28571428571,29.1245273822271
32,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1132,80 gms,80.00,62.00,93,1147,1160,1187,29.2004566174344
33,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1120,80 gms,80.00,62.00,93,1132,1147,1173,28.6356421265527
34,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1111,80 gms,80.00,62.00,93,1120,1132,1159.85714285714,28.8642141265418
35,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1098,80 gms,80.00,62.00,93,1111,1120,1147.28571428571,28.12895474841
36,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1087,80 gms,80.00,62.00,93,1098,1111,1134.57142857143,27.2877087279062
37,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1075,80 gms,80.00,62.00,93,1087,1098,1122.14285714286,26.1242452613696
38,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1062,80 gms,80.00,62.00,93,1075,1087,1110,25.3377189186399
39,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1051,80 gms,80.00,62.00,93,1062,1075,1097.85714285714,25.0161852369526
40,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1032,80 gms,80.00,62.00,93,1051,1062,1086.28571428571,25.3226794640318
41,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1021,80 gms,80.00,62.00,93,1032,1051,1073.71428571429,27.5421754509594
42,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,1002,80 gms,80.00,62.00,93,1021,1032,1060.85714285714,28.2337184434296
43,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,984,80 gms,80.00,62.00,93,1002,1021,1047.14285714286,30.4161611177817
44,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,974,80 gms,80.00,62.00,93,984,1002,1032.42857142857,32.7457739912453
45,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,962,80 gms,80.00,62.00,93,974,984,1018,33.1109246825475
46,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,951,80 gms,80.00,62.00,93,962,974,1003.71428571429,32.5305717016793
47,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,934,80 gms,80.00,62.00,93,951,962,989.428571428571,30.176465127961
48,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,921,80 gms,80.00,62.00,93,934,951,975.428571428571,29.8655718336747
49,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,912,80 gms,80.00,62.00,93,921,934,961.142857142857,28.3103548278044
50,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,903,80 gms,80.00,62.00,93,912,921,948.285714285714,27.0722138345715
51,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,888,80 gms,80.00,62.00,93,903,912,936.714285714286,26.56886828423
52,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,841,80 gms,80.00,62.00,93,888,903,924.428571428571,26.3366483748226
53,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,823,80 gms,80.00,62.00,93,841,888,907.142857142857,35.6343868168027
54,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,801,80 gms,80.00,62.00,93,823,841,888.857142857143,41.7030317500162
55,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,783,80 gms,80.00,62.00,93,801,823,869.857142857143,47.5900149591227
56,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,762,80 gms,80.00,62.00,93,783,801,850.142857142857,51.3109103779062
57,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,747,80 gms,80.00,62.00,93,762,783,828.714285714286,52.4808355043829
58,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,720,80 gms,80.00,62.00,93,747,762,806.428571428571,48.6616109572256
59,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,685,80 gms,80.00,62.00,93,720,747,782.428571428571,42.8013128414583
60,111,Dairy Milk Nuts and Fruits,2024/07/23,2024/12/25,660,80 gms,80.00,62.00,93,685,720,NA,NA
1,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1600,1000 ml,70.00,62.00,12,NA,NA,NA,NA
2,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1636,1000 ml,70.00,62.00,12,1600,NA,NA,NA
3,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1622,1000 ml,70.00,62.00,12,1636,1600,NA,NA
4,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1610,1000 ml,70.00,62.00,12,1622,1636,NA,NA
5,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1600,1000 ml,70.00,62.00,12,1610,1622,NA,NA
6,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1588,1000 ml,70.00,62.00,12,1600,1610,NA,NA
7,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1574,1000 ml,70.00,62.00,12,1588,1600,1473.71428571429,359.162783096892
8,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1562,1000 ml,70.00,62.00,12,1574,1588,1604.28571428571,20.7019667802706
9,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1547,1000 ml,70.00,62.00,12,1562,1574,1598.85714285714,26.2515305676232
10,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1521,1000 ml,70.00,62.00,12,1547,1562,1586.14285714286,26.8106233386977
11,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1500,1000 ml,70.00,62.00,12,1521,1547,1571.71428571429,31.127235050752
12,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1487,1000 ml,70.00,62.00,12,1500,1521,1556,35.9675779927794
13,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1456,1000 ml,70.00,62.00,12,1487,1500,1539.85714285714,38.2161770782504
14,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1423,1000 ml,70.00,62.00,12,1456,1487,1521,42.7940805875454
15,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1401,1000 ml,70.00,62.00,12,1423,1456,1499.42857142857,49.2031745007614
16,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1387,1000 ml,70.00,62.00,12,1401,1423,1476.42857142857,52.5923224525442
17,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1365,1000 ml,70.00,62.00,12,1387,1401,1453.57142857143,51.568262664993
18,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1354,1000 ml,70.00,62.00,12,1365,1387,1431.28571428571,51.2793469982939
19,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1341,1000 ml,70.00,62.00,12,1354,1365,1410.42857142857,48.2764854522266
20,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1331,1000 ml,70.00,62.00,12,1341,1354,1389.57142857143,40.611398822076
21,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1315,1000 ml,70.00,62.00,12,1331,1341,1371.71428571429,33.3702176884034
22,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1301,1000 ml,70.00,62.00,12,1315,1331,1356.28571428571,30.5544011325935
23,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1284,1000 ml,70.00,62.00,12,1301,1315,1342,29.5240015354739
24,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1271,1000 ml,70.00,62.00,12,1284,1301,1327.28571428571,29.0213386189903
25,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1258,1000 ml,70.00,62.00,12,1271,1284,1313.85714285714,30.3777801000916
26,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1244,1000 ml,70.00,62.00,12,1258,1271,1300.14285714286,30.8999922946515
27,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1214,1000 ml,70.00,62.00,12,1244,1258,1286.28571428571,31.2714688159153
28,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1201,1000 ml,70.00,62.00,12,1214,1244,1269.57142857143,34.4908545504319
29,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1184,1000 ml,70.00,62.00,12,1201,1214,1253.28571428571,36.3304935543788
30,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1162,1000 ml,70.00,62.00,12,1184,1201,1236.57142857143,37.6114217707739
31,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1138,1000 ml,70.00,62.00,12,1162,1184,1219.14285714286,40.1514988156464
32,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1121,1000 ml,70.00,62.00,12,1138,1162,1200.14285714286,42.8968863338921
33,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1103,1000 ml,70.00,62.00,12,1121,1138,1180.57142857143,43.350729109044
34,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1084,1000 ml,70.00,62.00,12,1103,1121,1160.42857142857,41.6927537383382
35,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1073,1000 ml,70.00,62.00,12,1084,1103,1141.85714285714,42.7918550327379
36,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1052,1000 ml,70.00,62.00,12,1073,1084,1123.57142857143,40.5990851409944
37,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1034,1000 ml,70.00,62.00,12,1052,1073,1104.71428571429,38.4521966676994
38,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,1004,1000 ml,70.00,62.00,12,1034,1052,1086.42857142857,37.0803503348119
39,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,975,1000 ml,70.00,62.00,12,1004,1034,1067.28571428571,40.4545600466923
40,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,942,1000 ml,70.00,62.00,12,975,1004,1046.42857142857,45.4710792440541
41,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,914,1000 ml,70.00,62.00,12,942,975,1023.42857142857,52.2935851478845
42,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,889,1000 ml,70.00,62.00,12,914,942,999.142857142857,58.5731126354877
43,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,869,1000 ml,70.00,62.00,12,889,914,972.857142857143,61.1349015741106
44,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,851,1000 ml,70.00,62.00,12,869,889,946.714285714286,60.7775021032023
45,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,832,1000 ml,70.00,62.00,12,851,869,920.571428571429,56.1570925851673
46,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,821,1000 ml,70.00,62.00,12,832,851,896,50.9574986303946
47,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,803,1000 ml,70.00,62.00,12,821,832,874,43.924177093411
48,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,781,1000 ml,70.00,62.00,12,803,821,854.142857142857,39.2276627370217
49,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,743,1000 ml,70.00,62.00,12,781,803,835.142857142857,37.5784892876611
50,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,714,1000 ml,70.00,62.00,12,743,781,814.285714285714,42.8513488146884
51,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,698,1000 ml,70.00,62.00,12,714,743,792.142857142857,49.4112961829195
52,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,651,1000 ml,70.00,62.00,12,698,714,770.285714285714,52.7627213277022
53,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,634,1000 ml,70.00,62.00,12,651,698,744.428571428571,61.1606004517536
54,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,607,1000 ml,70.00,62.00,12,634,651,717.714285714286,62.9542539884168
55,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,574,1000 ml,70.00,62.00,12,607,634,689.714285714286,62.2835298874277
56,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,542,1000 ml,70.00,62.00,12,574,607,660.142857142857,60.8424976789211
57,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,514,1000 ml,70.00,62.00,12,542,574,631.428571428571,62.6254930595551
58,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,487,1000 ml,70.00,62.00,12,514,542,602.857142857143,64.2765601948035
59,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,451,1000 ml,70.00,62.00,12,487,514,572.714285714286,61.6433675418918
60,112,Coffee Day Toned Milk,2024/07/23,2024/10/05,425,1000 ml,70.00,62.00,12,451,487,NA,NA
1,113,Kurnool Sona Rice Packet,2024/07/23,NA,150,25 KG,"1,350.00",62.00,NA,NA,NA,NA,NA
2,113,Kurnool Sona Rice Packet,2024/07/23,NA,149,25 KG,"1,350.00",62.00,NA,150,NA,NA,NA
3,113,Kurnool Sona Rice Packet,2024/07/23,NA,149,25 KG,"1,350.00",62.00,NA,149,150,NA,NA
4,113,Kurnool Sona Rice Packet,2024/07/23,NA,147,25 KG,"1,350.00",62.00,NA,149,149,NA,NA
5,113,Kurnool Sona Rice Packet,2024/07/23,NA,146,25 KG,"1,350.00",62.00,NA,147,149,NA,NA
6,113,Kurnool Sona Rice Packet,2024/07/23,NA,145,25 KG,"1,350.00",62.00,NA,146,147,NA,NA
7,113,Kurnool Sona Rice Packet,2024/07/23,NA,144,25 KG,"1,350.00",62.00,NA,145,146,187.285714285714,104.837516004075
8,113,Kurnool Sona Rice Packet,2024/07/23,NA,144,25 KG,"1,350.00",62.00,NA,144,145,147.142857142857,2.26778683805536
9,113,Kurnool Sona Rice Packet,2024/07/23,NA,142,25 KG,"1,350.00",62.00,NA,144,144,146.285714285714,2.1380899352994
10,113,Kurnool Sona Rice Packet,2024/07/23,NA,141,25 KG,"1,350.00",62.00,NA,142,144,145.285714285714,2.28868854108532
11,113,Kurnool Sona Rice Packet,2024/07/23,NA,139,25 KG,"1,350.00",62.00,NA,141,142,144.142857142857,2.11570094204982
12,113,Kurnool Sona Rice Packet,2024/07/23,NA,137,25 KG,"1,350.00",62.00,NA,139,141,143,2.44948974278318
13,113,Kurnool Sona Rice Packet,2024/07/23,NA,136,25 KG,"1,350.00",62.00,NA,137,139,141.714285714286,2.9277002188456
14,113,Kurnool Sona Rice Packet,2024/07/23,NA,134,25 KG,"1,350.00",62.00,NA,136,137,140.428571428571,3.20713490294909
15,113,Kurnool Sona Rice Packet,2024/07/23,NA,131,25 KG,"1,350.00",62.00,NA,134,136,139,3.55902608401044
16,113,Kurnool Sona Rice Packet,2024/07/23,NA,128,25 KG,"1,350.00",62.00,NA,131,134,137.142857142857,3.89138242053607
17,113,Kurnool Sona Rice Packet,2024/07/23,NA,128,25 KG,"1,350.00",62.00,NA,128,131,135.142857142857,4.52506248312556
18,113,Kurnool Sona Rice Packet,2024/07/23,NA,127,25 KG,"1,350.00",62.00,NA,128,128,133.285714285714,4.38612531035027
19,113,Kurnool Sona Rice Packet,2024/07/23,NA,125,25 KG,"1,350.00",62.00,NA,127,128,131.571428571429,4.1173269183271
20,113,Kurnool Sona Rice Packet,2024/07/23,NA,124,25 KG,"1,350.00",62.00,NA,125,127,129.857142857143,3.97611918955202
21,113,Kurnool Sona Rice Packet,2024/07/23,NA,124,25 KG,"1,350.00",62.00,NA,124,125,128.142857142857,3.4364987719369
22,113,Kurnool Sona Rice Packet,2024/07/23,NA,123,25 KG,"1,350.00",62.00,NA,124,124,126.714285714286,2.56347977784662
23,113,Kurnool Sona Rice Packet,2024/07/23,NA,121,25 KG,"1,350.00",62.00,NA,123,124,125.571428571429,2.07019667802706
24,113,Kurnool Sona Rice Packet,2024/07/23,NA,120,25 KG,"1,350.00",62.00,NA,121,123,124.571428571429,2.37045304088641
25,113,Kurnool Sona Rice Packet,2024/07/23,NA,120,25 KG,"1,350.00",62.00,NA,120,121,123.428571428571,2.37045304088641
26,113,Kurnool Sona Rice Packet,2024/07/23,NA,120,25 KG,"1,350.00",62.00,NA,120,120,122.428571428571,2.07019667802706
27,113,Kurnool Sona Rice Packet,2024/07/23,NA,120,25 KG,"1,350.00",62.00,NA,120,120,121.714285714286,1.88982236504614
28,113,Kurnool Sona Rice Packet,2024/07/23,NA,119,25 KG,"1,350.00",62.00,NA,120,120,121.142857142857,1.67616341969505
29,113,Kurnool Sona Rice Packet,2024/07/23,NA,118,25 KG,"1,350.00",62.00,NA,119,120,120.428571428571,1.2724180205607
30,113,Kurnool Sona Rice Packet,2024/07/23,NA,118,25 KG,"1,350.00",62.00,NA,118,119,119.714285714286,0.951189731211342
31,113,Kurnool Sona Rice Packet,2024/07/23,NA,117,25 KG,"1,350.00",62.00,NA,118,118,119.285714285714,0.951189731211342
32,113,Kurnool Sona Rice Packet,2024/07/23,NA,114,25 KG,"1,350.00",62.00,NA,117,118,118.857142857143,1.21498579258791
33,113,Kurnool Sona Rice Packet,2024/07/23,NA,114,25 KG,"1,350.00",62.00,NA,114,117,118,2.08166599946613
34,113,Kurnool Sona Rice Packet,2024/07/23,NA,114,25 KG,"1,350.00",62.00,NA,114,114,117.142857142857,2.34012616672488
35,113,Kurnool Sona Rice Packet,2024/07/23,NA,112,25 KG,"1,350.00",62.00,NA,114,114,116.285714285714,2.21466970556828
36,113,Kurnool Sona Rice Packet,2024/07/23,NA,111,25 KG,"1,350.00",62.00,NA,112,114,115.285714285714,2.36038737740833
37,113,Kurnool Sona Rice Packet,2024/07/23,NA,110,25 KG,"1,350.00",62.00,NA,111,112,114.285714285714,2.49761791275112
38,113,Kurnool Sona Rice Packet,2024/07/23,NA,102,25 KG,"1,350.00",62.00,NA,110,111,113.142857142857,2.34012616672488
39,113,Kurnool Sona Rice Packet,2024/07/23,NA,98,25 KG,"1,350.00",62.00,NA,102,110,111,4.28174419288838
40,113,Kurnool Sona Rice Packet,2024/07/23,NA,98,25 KG,"1,350.00",62.00,NA,98,102,108.714285714286,6.23736818736572
41,113,Kurnool Sona Rice Packet,2024/07/23,NA,98,25 KG,"1,350.00",62.00,NA,98,98,106.428571428571,6.87646088374785
42,113,Kurnool Sona Rice Packet,2024/07/23,NA,98,25 KG,"1,350.00",62.00,NA,98,98,104.142857142857,6.59364773673803
43,113,Kurnool Sona Rice Packet,2024/07/23,NA,95,25 KG,"1,350.00",62.00,NA,98,98,102.142857142857,5.89995964473689
44,113,Kurnool Sona Rice Packet,2024/07/23,NA,94,25 KG,"1,350.00",62.00,NA,95,98,99.8571428571429,4.91353814911995
45,113,Kurnool Sona Rice Packet,2024/07/23,NA,93,25 KG,"1,350.00",62.00,NA,94,95,97.5714285714286,2.5727509827124
46,113,Kurnool Sona Rice Packet,2024/07/23,NA,92,25 KG,"1,350.00",62.00,NA,93,94,96.2857142857143,2.21466970556828
47,113,Kurnool Sona Rice Packet,2024/07/23,NA,92,25 KG,"1,350.00",62.00,NA,92,93,95.4285714285714,2.5727509827124
48,113,Kurnool Sona Rice Packet,2024/07/23,NA,91,25 KG,"1,350.00",62.00,NA,92,92,94.5714285714286,2.5727509827124
49,113,Kurnool Sona Rice Packet,2024/07/23,NA,90,25 KG,"1,350.00",62.00,NA,91,92,93.5714285714286,2.37045304088641
50,113,Kurnool Sona Rice Packet,2024/07/23,NA,89,25 KG,"1,350.00",62.00,NA,90,91,92.4285714285714,1.71824938596845
51,113,Kurnool Sona Rice Packet,2024/07/23,NA,87,25 KG,"1,350.00",62.00,NA,89,90,91.5714285714286,1.71824938596845
52,113,Kurnool Sona Rice Packet,2024/07/23,NA,87,25 KG,"1,350.00",62.00,NA,87,89,90.5714285714286,2.07019667802706
53,113,Kurnool Sona Rice Packet,2024/07/23,NA,85,25 KG,"1,350.00",62.00,NA,87,87,89.7142857142857,2.1380899352994
54,113,Kurnool Sona Rice Packet,2024/07/23,NA,84,25 KG,"1,350.00",62.00,NA,85,87,88.7142857142857,2.49761791275112
55,113,Kurnool Sona Rice Packet,2024/07/23,NA,83,25 KG,"1,350.00",62.00,NA,84,85,87.5714285714286,2.5727509827124
56,113,Kurnool Sona Rice Packet,2024/07/23,NA,82,25 KG,"1,350.00",62.00,NA,83,84,86.4285714285714,2.5727509827124
57,113,Kurnool Sona Rice Packet,2024/07/23,NA,82,25 KG,"1,350.00",62.00,NA,82,83,85.2857142857143,2.49761791275112
58,113,Kurnool Sona Rice Packet,2024/07/23,NA,81,25 KG,"1,350.00",62.00,NA,82,82,84.2857142857143,2.1380899352994
59,113,Kurnool Sona Rice Packet,2024/07/23,NA,81,25 KG,"1,350.00",62.00,NA,81,82,83.4285714285714,2.07019667802706
60,113,Kurnool Sona Rice Packet,2024/07/23,NA,80,25 KG,"1,350.00",62.00,NA,81,81,NA,NA
1,114,Maggie Noodles,2024/07/23,2024/11/10,800,125 gms,15.00,62.00,48,NA,NA,NA,NA
2,114,Maggie Noodles,2024/07/23,2024/11/10,784,125 gms,15.00,62.00,48,800,NA,NA,NA
3,114,Maggie Noodles,2024/07/23,2024/11/10,777,125 gms,15.00,62.00,48,784,800,NA,NA
4,114,Maggie Noodles,2024/07/23,2024/11/10,768,125 gms,15.00,62.00,48,777,784,NA,NA
5,114,Maggie Noodles,2024/07/23,2024/11/10,761,125 gms,15.00,62.00,48,768,777,NA,NA
6,114,Maggie Noodles,2024/07/23,2024/11/10,753,125 gms,15.00,62.00,48,761,768,NA,NA
7,114,Maggie Noodles,2024/07/23,2024/11/10,747,125 gms,15.00,62.00,48,753,761,674.714285714286,262.698632330988
8,114,Maggie Noodles,2024/07/23,2024/11/10,742,125 gms,15.00,62.00,48,747,753,770,18.475208614068
9,114,Maggie Noodles,2024/07/23,2024/11/10,740,125 gms,15.00,62.00,48,742,747,761.714285714286,15.5532878165603
10,114,Maggie Noodles,2024/07/23,2024/11/10,731,125 gms,15.00,62.00,48,740,742,755.428571428571,13.8426532001292
11,114,Maggie Noodles,2024/07/23,2024/11/10,725,125 gms,15.00,62.00,48,731,740,748.857142857143,12.7727388270041
